Location,SKU,Product,Loc Name,Spoken Description,Starter Qty,State,lang_desc,Sequence,Verification
Bulk,80142, 12OZ CUP 2000 DP,8170,twelve ounce cups,0,ENABLED,ENGLISH,9999,ALLOWCHECKDIGITS
Full,80142, 12OZ CUP 2000 DP,8170,twelve ounce cups,0,ENABLED,ENGLISH,9999,ALLOWCHECKDIGITS
Bulk,68754, 24OZ CUP 1000 DPM,8160,cup twenty four ounce wax,0,ENABLED,ENGLISH,9999,ALLOWCHECKDIGITS
Bulk,63072, 32OZ CUP 480 DPM,8170,thirty two ounce cup,0,ENABLED,ENGLISH,9999,ALLOWCHECKDIGITS
Bulk,32407, 32OZ LID 960 SL,8160,thirty two ounce lid,9999,ENABLED,ENGLISH,9999,ALLOWCHECKDIGITS
Bulk,148782, C 16OZ 1200C,9999,sixteen ounce cup,1,ENABLED,ENGLISH,9999,ALLOWCHECKDIGITS
Full,148782, C 16OZ 1200C,9999,sixteen ounce cup,0,ENABLED,ENGLISH,9999,ALLOWCHECKDIGITS
Bulk,134361, CUP 16OZ SC 1000,1,sixteen ounce cup,0,ENABLED,ENGLISH,9999,ALLOWCHECKDIGITS
Full,134361, CUP 16OZ SC 1000,1,sixteen ounce cup,0,ENABLED,ENGLISH,9999,ALLOWCHECKDIGITS
Bulk,134384, CUP 24OZ SC 600,8170,twenty four ounce cups,0,ENABLED,ENGLISH,9999,ALLOWCHECKDIGITS
Bulk,148781, L 12/16/21/24OZ,8170,lids L C R S twenty two,0,ENABLED,ENGLISH,9999,ALLOWCHECKDIGITS
Bulk,134360, L16/24 SBCH 1000,8170,sixteen ounce and twenty four ounce lid,0,ENABLED,ENGLISH,9999,ALLOWCHECKDIGITS
Bulk,195692,1.25L PL 1/12 CRSH GRP,4270,one point two five liter crush grape,0,ENABLED,ENGLISH,4270,ALLOWCHECKDIGITS
Bulk,151579,1.25L PL 1/12 CRSH ORG,4260,one point two five liter crush orange,0,ENABLED,ENGLISH,4260,ALLOWCHECKDIGITS
Bulk,151578,1.25L PL 1/12 DRPEP,,one point two five doctor pepper,0,ENABLED,ENGLISH,1,ALLOWCHECKDIGITS
Bulk,151572,1.25L PL 1/12 MDEW,4230,one point two five liter mountain dew,0,ENABLED,ENGLISH,4230,ALLOWCHECKDIGITS
Bulk,197242,1.25L PL 1/12 MDEW BJA BLST,4280,ONE .TWO FIVE BJA BLAST,0,ENABLED,ENGLISH,4280,ALLOWCHECKDIGITS
Bulk,151568,1.25L PL 1/12 PEPSI,4250,one point two five liter pepsi,0,ENABLED,ENGLISH,4250,ALLOWCHECKDIGITS
