Zone,SKU,Description,Cases,Picked,Orders,Remaining,UPC,Cases / Order
BULK,3028,1L PL 1/15 PEPSI,2,0,2,2,'012000002946,1
BULK,3130,2L PL 1/8S MDEW,24,1,22,23,'012000002335,1
BULK,3155,2L PL 1/8S DT MDEW,8,1,8,7,'012000007460,1
BULK,3172,2L PL 1/8S MUG RT BR,21,0,17,21,'012000009358,1
BULK,3689,5G BIB DRPEP POS,4,0,3,4,'054900710545,1
BULK,3789,10OZ NR 6/4 SCHW CLB SDA,6,0,3,6,'078000003611,2
BULK,3811,10OZ NR 6/4 SCHW G ALE,4,0,2,4,'078000003437,2
BULK,3824,2L PL 1/8S SCHW G ALE,2,0,2,2,'078000206463,1
BULK,3838,10OZ NR 6/4 SCHW TON,6,0,2,6,'078000003574,3
BULK,4504, 20LB FULL TANK,3,0,2,3,'012000402685,1
BULK,4783,2L PL 1/8S PEPSI WCHE,11,0,10,11,'012000003110,1
BULK,4927,20OZ PL 1/24 PEPSI,107,3,70,104,'012000001291,1
BULK,5242,5G BIB PEPSI POS,35,0,5,35,'012000400032,7
BULK,5247,5G BIB DT PEPSI POS,2,0,2,2,'012000400063,1
BULK,5265,5G BIB MUG RT BR POS,2,0,2,2,'012000400117,1
BULK,5873,20OZ PL 1/24 DT MDEW,29,2,23,27,'012000001345,1
BULK,5874,20OZ PL 1/24 MDEW,85,3,58,82,'012000001314,1
BULK,6319,1L PL 1/15 MDEW,2,0,2,2,'012000002977,1
BULK,8383,20OZ PL 1/24 PEPSI WCHE,26,1,21,25,'012000005596,1
BULK,9567,20OZ PL 1/24 MUG RT BR,23,3,21,20,'012000009105,1
BULK,9776,2L PL 1/8S PEPSI,105,2,45,103,'012000002304,2
BULK,16788,12OZ CN 24/1CB PEPSI,84,0,7,84,'012000000171,12
BULK,16791,12OZ CN 24/1CB MDEW,15,0,4,15,'012000000881,3
BULK,18628,20OZ PL 1/24 SCHWP G ALE,16,0,12,16,'078000206401,1
BULK,19117,12OZ CN 24/1CB DT MDEW,41,0,11,41,'012000001703,3
BULK,30346,20OZ PL 1/24 AQUA WTR,67,6,42,61,'012000001598,1
BULK,30347,1L PL 1/15 AQUA WTR,57,4,28,53,'012000001574,2
BULK,30974,1L PL 1/15 SCHW CLB SDA,13,0,5,13,'078000203455,2
BULK,30975,1L PL 1/15 SCHW TON,8,0,6,8,'078000218459,1
BULK,30977,1L PL 1/15 SCHW QUITON ZS,7,0,6,7,'078000219456,1
BULK,31853,12OZ CN 24/1CB PEPSI WCHE,34,6,10,28,'012000107986,3
BULK,32077,9.5OZ NR 4/6 FRAP MCH,12,1,11,11,'012000100925,1
BULK,32078,9.5OZ NR 4/6 FRAP COF,3,1,3,2,'012000101519,1
BULK,33188,3G BIB BRSK FTN SNL POS,3,0,2,3,'041000010026,1
BULK,37091,9.5OZ NR 4/6 FRAP VAN,15,1,13,14,'012000101144,1
BULK,37096,9.5OZ NR 12/1 FRAP VAN,16,0,11,16,'012000101151,1
BULK,62224,9.5OZ NR 4/6 FRAP CRML,12,1,11,11,'012000103681,1
BULK,66561,20OZ PL 1/24 MDEW CD RD,13,1,12,12,'012000002243,1
BULK,67543,2L PL 1/8S MDEW CD RD,2,0,2,2,'012000105425,1
BULK,69285,12OZ CN 24/1CB BRSK SWL,134,10,21,124,'012000202360,6
BULK,69437,2L PL 1/8S BRSK SWL,27,0,20,27,'012000202377,1
BULK,69806,13.7OZ NR 1/12 FRAP COF,32,4,27,28,'012000001802,1
BULK,69807,13.7OZ NR 1/12 FRAP MCH,74,7,56,67,'012000004520,1
BULK,70191,15.2OZ PL 1/12 OS CRAN,31,2,23,29,'012000021367,1
BULK,70193,15.2OZ PL 1/12 OS CRAN GRP,17,1,12,16,'012000021381,1
