Location,SKU,Product,Loc Name,Spoken Description,Starter Qty,State,lang_desc,Sequence,Verification
Bulk,202055,20OZ PL 1/12 PRPL PRPL STRW LMD,8130,twenty ounce propel  strawberry lemonade,0,STOCKOUT,ENGLISH,8130,ALLOWCHECKDIGITS
Bulk,325290,12OZ CN 12/2 FM PEP ZS WCHE CRM,999,fridge mate pepsi wild cherry cream zero sugar,0,STOCKOUT,ENGLISH,999,ALLOWCHECKDIGITS
Full,325290,12OZ CN 12/2 FM PEP ZS WCHE CRM,1,fridge mate pepsi wild cherry cream zero sugar,0,STOCKOUT,ENGLISH,1,ALLOWCHECKDIGITS
Bulk,82697,6.5OZ CN 1/12 STRBK DS,7100,six point five ounce doubleshot twelve pack,0,STOCKOUT,ENGLISH,7100,ALLOWCHECKDIGITS
Full,82697,6.5OZ CN 1/12 STRBK DS,7100,six point five ounce doubleshot twelve pack,0,STOCKOUT,ENGLISH,7100,ALLOWCHECKDIGITS
Bulk,140534,14OZ PL 1/12 MM MM P40 INT VAN,7320,fourteen ounce muscle milk pro intense vanilla,0,STOCKOUT,ENGLISH,7650,ALLOWCHECKDIGITS
Bulk,323443,16OZ CN 4/6 LPT IT PCH,605,sixteen ounce four six lipton peach,1,STOCKOUT,ENGLISH,3190,ALLOWCHECKDIGITS
Bulk,205848,1L PL 1/15 BRSK BLD ORG,3500,one liter brisk blood orange,0,STOCKOUT,ENGLISH,3500,ALLOWCHECKDIGITS
Bulk,173490,12OZ PL 6/4 GAT CL BLU,4560,twelve ounce six pack gatorade cool blue,0,STOCKOUT,ENGLISH,4590,ALLOWCHECKDIGITS
Full,173490,12OZ PL 6/4 GAT CL BLU,4560,twelve ounce six pack gatorade cool blue,0,STOCKOUT,ENGLISH,4590,ALLOWCHECKDIGITS
Bulk,197752,64OZ PL 1/8 LPT LPT IT PCH SR,4330,sixty four ounce lipton georgia peach,0,STOCKOUT,ENGLISH,4330,ALLOWCHECKDIGITS
Bulk,169373,20OZ WM PL 1/24 GAT ZRO GLCR CHE,3130,twenty ounce singles gatorade zero glacier cherry,0,STOCKOUT,ENGLISH,3130,ALLOWCHECKDIGITS
Full,169373,20OZ WM PL 1/24 GAT ZRO GLCR CHE,3130,twenty ounce singles gatorade zero glacier cherry,0,STOCKOUT,ENGLISH,3130,ALLOWCHECKDIGITS
Bulk,209501,16.9OZ PL 1/12 GA GFIT BLKB RSP,330,sixteen nine g fit black raspberry,0,STOCKOUT,ENGLISH,3291,ALLOWCHECKDIGITS
Full,209501,16.9OZ PL 1/12 GA GFIT BLKB RSP,1,sixteen nine g fit black raspberry,0,STOCKOUT,ENGLISH,3291,ALLOWCHECKDIGITS
Bulk,168916,12OZ CN 8/3 FM BUBLY ORIG SPK,250,bubbly eight three pack original,100,STOCKOUT,ENGLISH,9999,ALLOWCHECKDIGITS
Full,168916,12OZ CN 8/3 FM BUBLY ORIG SPK,,bubbly eight three pack original,0,STOCKOUT,ENGLISH,9999,ALLOWCHECKDIGITS
Bulk,206355,9.6OZ CN 1/12 SB NTR CB SWT CRM,15,nine point six ounce twelve pack nitro sweet cream,0,STOCKOUT,ENGLISH,7435,ALLOWCHECKDIGITS
Bulk,133043,12OZ CN 12/2 FM CRSH GRP,1060,fridge mate crush grape,0,STOCKOUT,ENGLISH,400,ALLOWCHECKDIGITS
Full,133043,12OZ CN 12/2 FM CRSH GRP,1020,fridge mate crush grape,0,STOCKOUT,ENGLISH,400,ALLOWCHECKDIGITS
Bulk,86536,12OZ CN 12/2 FM SCHW G ALE,1000,fridge mate schweppes ginger ale,0,STOCKOUT,ENGLISH,325,ALLOWCHECKDIGITS
Full,86536,12OZ CN 12/2 FM SCHW G ALE,1000,fridge mate schweppes ginger ale,0,STOCKOUT,ENGLISH,325,ALLOWCHECKDIGITS
